45,55
65,68
32,5
57,66
29,25
53,64
56,59
65,60
35,31
55,68
17,3
51,63
46,3
41,14
65,48
15,16
23,17
58,55
5,1
59,51
37,15
37,18
69,50
17,39
57,45
41,57
68,67
27,13
4,11
63,52
19,41
49,63
55,49
12,25
18,3
11,5
57,43
13,27
23,11
3,19
43,64
52,57
8,17
31,20
25,9
37,16
63,65
55,69
66,27
4,23
54,69
33,21
21,10
29,21
13,6
59,34
31,32
25,7
65,33
31,9
12,5
27,11
7,19
20,15
17,31
41,8
1,20
5,11
13,21
17,4
23,27
43,17
61,45
12,13
30,17
61,66
52,53
1,6
25,29
65,29
27,0
13,9
17,21
66,65
19,15
15,8
63,47
35,1
61,56
47,52
25,36
16,19
23,1
62,55
13,0
22,35
1,24
51,61
5,23
53,69
63,70
15,24
17,41
19,9
49,42
34,15
69,39
29,16
35,25
38,7
55,51
31,12
19,36
7,6
61,34
31,8
12,7
20,19
45,28
17,46
22,31
52,65
67,27
4,15
67,44
34,27
19,27
3,27
8,25
58,69
3,10
41,10
15,9
23,39
26,11
1,5
13,2
33,3
19,42
7,18
65,41
23,12
17,6
37,10
17,13
63,46
23,21
65,63
69,64
33,18
20,7
17,12
53,61
25,28
13,13
61,28
47,64
34,7
3,23
57,55
69,34
65,56
5,5
63,61
68,69
15,25
67,29
29,27
63,49
1,19
43,13
48,61
21,25
59,31
52,49
23,29
63,58
23,5
48,55
17,42
37,21
13,5
11,17
37,54
61,61
38,5
59,46
23,25
42,55
22,15
26,29
27,8
63,67
57,57
7,15
37,3
31,2
51,68
42,17
17,25
7,27
41,12
53,30
2,33
25,15
3,17
13,26
27,37
21,26
49,64
23,16
45,16
67,51
6,9
1,3
51,66
15,1
69,49
17,14
43,58
7,3
21,3
21,35
18,39
19,33
21,38
45,61
59,69
34,23
61,68
66,39
53,68
31,11
3,16
69,47
15,3
25,37
57,63
19,11
67,59
69,55
50,59
36,9
41,6
37,1
7,10
45,7
65,59
33,30
17,7
19,39
10,19
30,7
65,27
64,59
31,17
49,65
32,19
68,29
57,52
64,61
1,26
7,1
67,47
67,42
25,5
63,63
17,37
35,10
17,20
51,69
69,31
44,9
39,18
23,23
55,57
25,6
35,29
25,34
6,1
60,57
21,17
3,7
37,17
19,40
69,65
15,29
13,24
29,30
61,51
49,19
59,60
50,51
19,19
19,37
13,20
7,24
41,51
43,52
43,53
67,55
19,22
65,52
6,31
15,15
61,40
23,18
21,33
33,33
51,43
35,7
66,47
53,55
61,26
56,69
21,27
67,34
44,55
41,16
9,7
34,17
69,67
39,20
1,7
66,31
43,8
15,27
13,3
46,59
23,22
21,36
47,30
43,62
11,7
4,25
9,17
39,12
9,1
63,45
7,5
21,32
69,57
21,8
5,9
33,5
57,48
35,27
21,31
5,33
70,27
5,13
58,47
2,21
35,13
15,22
16,7
29,20
19,29
17,30
43,6
9,36
61,42
45,58
69,59
28,29
11,1
27,15
41,5
65,50
68,55
55,66
59,26
67,67
37,5
32,15
61,52
43,54
21,29
69,69
57,53
3,21
31,10
7,7
28,23
25,23
51,60
37,11
43,65
62,49
15,14
65,51
30,11
41,52
14,13
25,26
61,27
25,3
46,45
69,38
63,57
68,37
62,61
40,49
69,35
37,0
55,55
15,7
0,21
15,11
25,14
63,27
15,18
59,67
61,41
55,67
69,61
2,1
5,22
59,55
5,19
33,1
43,14
3,29
36,19
17,29
39,15
63,36
47,69
51,62
59,54
27,25
59,27
16,11
61,64
25,8
43,20
31,23
69,30
33,15
10,1
21,23
47,65
45,47
60,65
63,56
63,62
61,29
37,30
14,21
6,17
53,31
43,11
3,4
7,11
26,15
39,17
51,15
11,19
23,33
59,62
53,67
70,61
9,27
13,16
19,16
66,67
15,23
49,62
29,19
6,21
27,7
19,13
33,31
19,30
5,25
69,27
25,40
14,33
43,1
9,9
21,28
19,4
25,31
27,3
25,24
39,2
17,11
70,53
43,21
28,5
9,15
23,24
57,69
35,3
33,17
61,53
30,5
29,11
41,49
68,47
41,2
50,57
17,33
11,13
39,10
57,58
25,13
2,29
17,38
55,65
31,19
20,11
58,57
49,30
50,53
51,57
36,3
41,21
31,22
64,39
30,25
15,36
37,22
22,5
18,27
23,37
39,6
55,64
39,11
51,51
13,1
53,65
67,28
24,27
17,17
28,9
69,51
39,35
14,5
25,21
54,63
43,2
17,16
63,29
22,41
15,2
11,16
59,57
69,63
43,57
11,11
42,59
39,3
45,56
37,27
45,13
53,62
49,53
25,35
33,29
52,55
57,47
0,5
27,31
2,25
43,59
22,1
15,21
31,3
13,28
5,3
17,26
69,33
26,3
49,59
67,53
23,9
49,57
19,32
28,15
22,29
43,15
21,20
23,7
67,43
13,11
7,29
37,2
39,13
33,19
47,15
19,7
25,11
51,70
63,68
24,3
5,14
45,54
5,12
18,19
64,29
59,52
35,15
23,31
39,63
69,48
39,7
55,54
45,57
25,0
